"code","level","cause","sex","0-28 days","1-59 months","5-14 years","15-29 years","30-49 years","50-59 years","60-69 years","70+ years","year","region"
"2A22",3,"Lymphomas, multiple myeloma","Male",0,102,295,1911,6473,3270,3423,3024,"2019","Afr"
"2A22a",4,"Hodgkin lymphoma","Male",0,3,19,418,744,305,240,132,"2019","Afr"
"2A22b",4,"Non-Hodgkin lymphoma","Male",0,99,276,1482,5302,2320,2277,2212,"2019","Afr"
"2A22c",4,"Multiple myeloma","Male",0,0,0,10,428,646,906,680,"2019","Afr"
"2A23",3,"Leukaemia","Male",2,511,761,1604,2746,1386,1464,1328,"2019","Afr"
"2A24",3,"Other malignant neoplasms","Male",5,851,1796,5038,14226,7001,6732,7082,"2019","Afr"
"2B",2,"Other neoplasms","Male",0,19,62,19,98,114,224,398,"2019","Afr"
"2C",2,"Diabetes mellitus","Male",5,1105,738,1573,9521,18081,26585,34226,"2019","Afr"
"2D",2,"Endocrine, blood, immune disorders","Male",78,8973,7552,3869,3884,1891,1812,2222,"2019","Afr"
"2D01",3,"Thalassaemias","Male",1,256,111,13,5,1,0,0,"2019","Afr"
"2D02",3,"Sickle cell disorders and trait","Male",31,7119,6433,3145,1728,217,11,0,"2019","Afr"
"2D03",3,"Other haemoglobinopathies and haemolytic anaemias","Male",1,155,402,364,616,741,995,1360,"2019","Afr"
"2D04",3,"Other endocrine, blood and immune disorders","Male",45,1443,606,346,1536,932,805,862,"2019","Afr"
"2E",2,"Mental and substance use disorders","Male",0,0,0,3074,7784,3247,2579,2317,"2019","Afr"
"2E01",3,"Depressive disorders","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E01a",4,"Major depressive disorder","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E01b",4,"Dysthymia","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E02",3,"Bipolar disorder","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E03",3,"Schizophrenia","Male",0,0,0,1,1,0,1,0,"2019","Afr"
"2E04",3,"Alcohol use disorders","Male",0,0,0,270,2107,1983,1128,696,"2019","Afr"
"2E05",3,"Drug use disorders","Male",0,0,0,2802,5674,1264,1451,1621,"2019","Afr"
"2E05a",4,"Opioid use disorders","Male",0,0,0,2267,4253,764,802,478,"2019","Afr"
"2E05b",4,"Cocaine use disorders","Male",0,0,0,63,272,112,142,101,"2019","Afr"
"2E05c",4,"Amphetamine use disorders","Male",0,0,0,38,159,48,56,36,"2019","Afr"
"2E05d",4,"Cannabis use disorders","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E05e",4,"Other drug use disorders","Male",0,0,0,433,991,340,452,1006,"2019","Afr"
"2E06",3,"Anxiety disorders","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E07",3,"Eating disorders","Male",0,0,0,1,1,0,0,0,"2019","Afr"
"2E08",3,"Autism and Asperger syndrome","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E09",3,"Childhood behavioural disorders","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E09a",4,"Attention deficit/hyperactivity syndrome","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E09b",4,"Conduct disorder","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E10",3,"Idiopathic intellectual disability","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2E11",3,"Other mental and behavioural disorders","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2F",2,"Neurological conditions","Male",0,3238,3270,4070,4861,2373,4749,26141,"2019","Afr"
"2F01",3,"Alzheimer disease and other dementias","Male",0,0,0,0,201,708,2158,18064,"2019","Afr"
"2F02",3,"Parkinson disease","Male",0,0,0,2,126,317,1028,6310,"2019","Afr"
"2F03",3,"Epilepsy","Male",0,2162,2282,3648,3924,779,1183,1471,"2019","Afr"
"2F04",3,"Multiple sclerosis","Male",0,0,1,14,158,104,74,48,"2019","Afr"
"2F05",3,"Migraine","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2F06",3,"Non-migraine headache","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2F07",3,"Other neurological conditions","Male",0,1076,987,407,453,466,306,248,"2019","Afr"
"2G",2,"Sense organ diseases","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2H",2,"Cardiovascular diseases","Male",151,5437,5607,10639,60276,87423,139194,226777,"2019","Afr"
"2H01",3,"Rheumatic heart disease","Male",0,389,898,800,885,756,1434,1530,"2019","Afr"
"2H02",3,"Hypertensive heart disease","Male",0,0,0,416,4976,7476,11305,19445,"2019","Afr"
"2H03",3,"Ischaemic heart disease","Male",0,0,0,2485,24779,37792,58999,101096,"2019","Afr"
"2H04",3,"Stroke","Male",68,2243,2473,4179,21513,32492,56211,86874,"2019","Afr"
"2H04a",4,"Ischaemic stroke","Male",3,229,95,497,1983,4154,15022,41297,"2019","Afr"
"2H04b",4,"Haemorrhagic stroke","Male",65,2015,2377,3683,19531,28338,41189,45577,"2019","Afr"
"2H05",3,"Cardiomyopathy, myocarditis, endocarditis","Male",51,1972,967,1424,3982,4443,4963,4925,"2019","Afr"
"2H06",3,"Other circulatory diseases","Male",32,833,1269,1334,4140,4464,6282,12907,"2019","Afr"
"2I",2,"Respiratory diseases","Male",0,1932,1877,3069,10470,13619,24606,45795,"2019","Afr"
"2I01",3,"Chronic obstructive pulmonary disease","Male",0,132,105,741,3785,7717,16860,35468,"2019","Afr"
"2I02",3,"Asthma","Male",0,1514,1384,1697,4894,4377,6660,8543,"2019","Afr"
"2I03",3,"Other respiratory diseases","Male",0,287,388,631,1791,1525,1086,1784,"2019","Afr"
"2J",2,"Digestive diseases","Male",169,9821,9535,12468,48837,41850,47122,45060,"2019","Afr"
"2J01",3,"Peptic ulcer disease","Male",0,244,596,1417,3430,3026,2290,3494,"2019","Afr"
"2J02",3,"Cirrhosis of the liver","Male",0,2102,4122,6768,29645,27700,33336,24185,"2019","Afr"
"2J02a",4,"Cirrhosis due to hepatitis B","Male",0,29,211,1721,11696,9270,10181,6868,"2019","Afr"
"2J02b",4,"Cirrhosis due to hepatitis C","Male",0,17,131,1387,7846,6804,7542,6460,"2019","Afr"
"2J02c",4,"Cirrhosis due to alcohol use","Male",0,0,0,331,5853,7897,10331,5813,"2019","Afr"
"2J02d",4,"Other liver cirrhosis","Male",0,2055,3780,3329,4250,3729,5282,5045,"2019","Afr"
"2J03",3,"Appendicitis","Male",0,345,761,286,455,326,328,476,"2019","Afr"
"2J04",3,"Gastritis and duodenitis","Male",0,370,64,393,1286,954,432,688,"2019","Afr"
"2J05",3,"Paralytic ileus and intestinal obstruction","Male",123,4682,2703,1852,6575,3809,5028,5561,"2019","Afr"
"2J06",3,"Inflammatory bowel disease","Male",0,165,67,100,343,266,349,497,"2019","Afr"
"2J07",3,"Gallbladder and biliary diseases","Male",0,85,337,265,846,876,1152,3288,"2019","Afr"
"2J08",3,"Pancreatitis","Male",0,23,27,620,4014,2425,959,1182,"2019","Afr"
"2J09",3,"Other digestive diseases","Male",46,1806,858,766,2243,2467,3248,5689,"2019","Afr"
"2K",2,"Genitourinary diseases","Male",24,3202,3824,6473,12111,11808,17790,31467,"2019","Afr"
"2K01",3,"Kidney diseases","Male",0,2170,3428,5385,9739,9600,14491,25957,"2019","Afr"
"2K01a",4,"Acute glomerulonephritis","Male",0,40,37,13,37,21,27,45,"2019","Afr"
"2K01b",4,"Chronic kidney disease due to diabetes","Male",0,11,34,356,2717,3430,5085,8205,"2019","Afr"
"2K01c",4,"Other chronic kidney disease","Male",0,2119,3356,5016,6986,6149,9380,17707,"2019","Afr"
"2K02",3,"Benign prostatic hyperplasia","Male",0,0,0,0,0,0,0,2,"2019","Afr"
"2K03",3,"Urolithiasis","Male",0,1,4,9,14,19,39,44,"2019","Afr"
"2K04",3,"Other urinary diseases","Male",24,1032,391,1079,2357,2189,3260,5464,"2019","Afr"
"2K05",3,"Infertility","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2K06",3,"Gynecological diseases","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2L",2,"Skin diseases","Male",0,590,65,266,621,506,668,1335,"2019","Afr"
"2M",2,"Musculoskeletal diseases","Male",0,0,136,131,395,426,436,661,"2019","Afr"
"2M01",3,"Rheumatoid arthritis","Male",0,0,11,8,57,133,157,268,"2019","Afr"
"2M02",3,"Osteoarthritis","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2M03",3,"Gout","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2M04",3,"Back and neck pain","Male",0,0,0,0,0,0,0,0,"2019","Afr"
"2M05",3,"Other musculoskeletal disorders","Male",0,0,125,123,338,293,280,393,"2019","Afr"
"2N",2,"Congenital anomalies","Male",49207,45960,6889,1392,901,273,165,0,"2019","Afr"
"2N01",3,"Neural tube defects","Male",10891,9875,828,81,58,13,11,0,"2019","Afr"
"2N02",3,"Cleft lip and cleft palate","Male",290,242,0,0,0,0,0,0,"2019","Afr"
"2N03",3,"Down syndrome","Male",819,1767,334,117,128,74,24,0,"2019","Afr"
"2N04",3,"Congenital heart anomalies","Male",12197,14075,2680,676,440,108,71,0,"2019","Afr"
"2N05",3,"Other chromosomal anomalies","Male",2264,1723,227,71,37,6,2,0,"2019","Afr"
"2N06",3,"Other congenital anomalies","Male",22746,18278,2821,448,238,72,58,0,"2019","Afr"
"2O",2,"Oral conditions","Male",0,0,0,1,0,0,0,1,"2019","Afr"
"2P",2,"Sudden infant death syndrome","Male",49,7869,0,0,0,0,0,0,"2019","Afr"
"3",1,"Injuries","Male",4860,72656,66408,116973,127973,52037,43416,43573,"2019","Afr"
"3A",2,"Unintentional injuries","Male",4786,69912,60085,65353,75132,36013,32999,35112,"2019","Afr"
"3A01",3,"Road injury","Male",497,17008,35357,48313,48576,22085,19326,18190,"2019","Afr"
"3A02",3,"Poisonings","Male",425,6695,1904,1231,2394,1641,1507,1196,"2019","Afr"
"3A03",3,"Falls","Male",233,2900,3850,1313,3041,2773,3509,6724,"2019","Afr"
"3A04",3,"Fire, heat and hot substances","Male",407,7449,1835,1323,2929,1391,1424,1767,"2019","Afr"
"3A05",3,"Drowning","Male",243,11011,5885,2035,2375,941,766,738,"2019","Afr"
"3A06",3,"Exposure to mechanical forces","Male",1605,3890,1986,2759,3849,1592,1028,1074,"2019","Afr"
"3A07",3,"Natural disasters","Male",4,107,216,322,225,55,36,28,"2019","Afr"
"3A08",3,"Other unintentional injuries","Male",1373,20853,9051,8059,11744,5535,5403,5394,"2019","Afr"
"3B",2,"Intentional injuries","Male",73,2744,6323,51619,52840,16023,10417,8461,"2019","Afr"
"3B01",3,"Self-harm","Male",0,0,2419,12006,20843,8805,6920,6517,"2019","Afr"
"3B02",3,"Interpersonal violence","Male",0,2173,3223,36051,30251,6967,3360,1851,"2019","Afr"
"3B03",3,"Collective violence and legal intervention","Male",73,571,681,3563,1746,251,137,93,"2019","Afr"
"0",0,"All Causes","Female",444077,785903,217850,220578,488315,298581,381070,745639,"2019","Afr"
"1",1,"Communicable & Nutritional","Female",401259,647078,137786,149925,266758,88902,84228,146491,"2019","Afr"
"1A",2,"Infectious and parasitic diseases","Female",22861,419973,116009,94901,183093,71140,55750,70350,"2019","Afr"
"1A01",3,"Tuberculosis","Female",0,20202,8851,26165,47446,19854,11154,10294,"2019","Afr"
"1A02",3,"STDs excluding HIV","Female",6197,5169,399,399,400,130,93,130,"2019","Afr"
"1A02a",4,"Syphilis","Female",6197,5169,363,62,56,9,6,18,"2019","Afr"
"1A02b",4,"Chlamydia","Female",0,0,8,64,50,20,14,20,"2019","Afr"
"1A02c",4,"Gonorrhoea","Female",0,0,13,142,155,58,43,63,"2019","Afr"
"1A02d",4,"Trichomoniasis","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A02e",4,"Genital herpes","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A02f",4,"Other STDs","Female",0,0,15,131,139,43,30,28,"2019","Afr"
"1A03",3,"HIV/AIDS","Female",250,27423,12745,40591,95368,23203,8402,2675,"2019","Afr"
"1A04",3,"Diarrhoeal diseases","Female",2553,97207,33155,10143,15000,11567,17849,38113,"2019","Afr"
"1A05",3,"Childhood-cluster diseases","Female",6382,79834,13428,602,1003,428,291,282,"2019","Afr"
"1A05a",4,"Whooping cough","Female",0,32653,5137,159,72,30,0,0,"2019","Afr"
"1A05b",4,"Diphtheria","Female",0,1645,428,11,20,13,0,0,"2019","Afr"
"1A05c",4,"Measles","Female",0,45445,7162,115,86,0,0,0,"2019","Afr"
"1A05d",4,"Tetanus","Female",6382,91,701,316,825,385,291,282,"2019","Afr"
"1A06",3,"Meningitis","Female",6553,23286,13449,4744,6237,3042,3539,5348,"2019","Afr"
"1A07",3,"Encephalitis","Female",242,630,347,229,258,153,229,278,"2019","Afr"
"1A08",3,"Hepatitis","Female",0,569,635,650,1218,1106,883,1384,"2019","Afr"
"1A08a",4,"Acute hepatitis A","Female",0,167,207,277,524,554,255,593,"2019","Afr"
"1A08b",4,"Acute hepatitis B","Female",0,312,342,275,424,298,504,590,"2019","Afr"
"1A08c",4,"Acute hepatitis C","Female",0,63,75,81,248,240,113,172,"2019","Afr"
"1A08d",4,"Acute hepatitis E","Female",0,27,11,17,22,14,11,30,"2019","Afr"
"1A09",3,"Parasitic and vector diseases","Female",1,139135,17939,9614,13380,9850,11565,9710,"2019","Afr"
"1A09a",4,"Malaria","Female",0,135295,13417,7471,8932,7463,9554,7818,"2019","Afr"
"1A09b",4,"Trypanosomiasis","Female",0,13,292,197,189,66,48,25,"2019","Afr"
"1A09c",4,"Chagas disease","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09d",4,"Schistosomiasis","Female",0,67,278,248,812,794,858,1133,"2019","Afr"
"1A09e",4,"Leishmaniasis","Female",0,260,678,80,55,14,10,8,"2019","Afr"
"1A09f",4,"Lymphatic filariasis","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09g",4,"Onchocerciasis","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09h",4,"Cysticercosis","Female",0,72,309,584,1020,439,346,242,"2019","Afr"
"1A09i",4,"Echinococcosis","Female",0,416,273,145,300,184,192,257,"2019","Afr"
"1A09j",4,"Dengue","Female",0,19,10,2,0,0,0,0,"2019","Afr"
"1A09k",4,"Trachoma","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A09l",4,"Yellow fever","Female",0,120,878,218,135,45,27,16,"2019","Afr"
"1A09m",4,"Rabies","Female",0,2874,1806,668,1936,846,530,211,"2019","Afr"
"1A10",3,"Intestinal nematode infections","Female",0,495,249,7,8,4,6,9,"2019","Afr"
"1A10a",4,"Ascariasis","Female",0,495,249,7,8,4,6,9,"2019","Afr"
"1A10b",4,"Trichuriasis","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A10c",4,"Hookworm disease","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A10d",4,"Food-bourne trematodes","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A11",3,"Leprosy","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1A12",3,"Other infectious diseases","Female",684,26023,14812,1756,2776,1803,1738,2126,"2019","Afr"
"1B",2,"Respiratory Infectious","Female",32066,163459,17308,7758,17885,15796,26031,67904,"2019","Afr"
"1B01",3,"Lower respiratory infections","Female",32053,162639,17113,7708,17779,15753,25987,67794,"2019","Afr"
"1B02",3,"Upper respiratory infections","Female",3,807,176,45,98,37,39,100,"2019","Afr"
"1B03",3,"Otitis media","Female",10,13,19,5,8,6,5,10,"2019","Afr"
"1C",2,"Maternal conditions","Female",0,0,0,46101,63574,0,0,0,"2019","Afr"
"1D",2,"Neonatal conditions","Female",346332,39386,0,0,0,0,0,0,"2019","Afr"
"1D01",3,"Preterm birth complications","Female",130574,18482,0,0,0,0,0,0,"2019","Afr"
"1D02",3,"Birth asphyxia and birth trauma","Female",131368,18169,0,0,0,0,0,0,"2019","Afr"
"1D03",3,"Neonatal sepsis and infections","Female",70499,0,0,0,0,0,0,0,"2019","Afr"
"1D04",3,"Other neonatal conditions","Female",13890,2736,0,0,0,0,0,0,"2019","Afr"
"1E",2,"Nutritional deficiencies","Female",0,24260,4469,1166,2205,1966,2447,8237,"2019","Afr"
"1E01",3,"Protein-energy malnutrition","Female",0,23801,4371,975,1944,1424,2196,7468,"2019","Afr"
"1E02",3,"Iodine deficiency","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1E03",3,"Vitamin A deficiency","Female",0,0,0,0,0,0,0,0,"2019","Afr"
"1E04",3,"Iron-deficiency anaemia","Female",0,0,1,0,3,0,0,20,"2019","Afr"
"1E05",3,"Other nutritional deficiencies","Female",0,459,97,190,258,542,251,749,"2019","Afr"
"2",1,"Noncommunicable","Female",38862,76288,38234,39757,186812,190322,275678,567040,"2019","Afr"
"2A",2,"Malignant neoplasms","Female",25,1854,3145,12240,91191,70597,68070,58349,"2019","Afr"
"2A01",3,"Mouth and oropharynx cancers","Female",0,0,23,280,1832,1695,1934,1430,"2019","Afr"
"2A01a",4,"Lip and oral cavity","Female",0,0,5,119,1113,1118,1387,1032,"2019","Afr"
"2A01b",4,"Nasopharynx","Female",0,0,18,146,533,335,263,193,"2019","Afr"
"2A01c",4,"Other pharynx","Female",0,0,0,15,185,242,285,205,"2019","Afr"
"2A02",3,"Oesophagus cancer","Female",0,0,17,86,1730,2456,3073,3174,"2019","Afr"
"2A03",3,"Stomach cancer","Female",0,0,4,243,1991,2184,2999,3429,"2019","Afr"
"2A04",3,"Colon and rectum cancers","Female",0,0,3,216,3149,3105,4131,5149,"2019","Afr"
"2A05",3,"Liver cancer","Female",9,333,102,423,3340,3020,3064,2866,"2019","Afr"
"2A05a",4,"Liver cancer secondary to hepatitis B","Female",0,0,16,201,1614,1070,819,499,"2019","Afr"
"2A05b",4,"Liver cancer secondary to hepatitis C","Female",0,0,1,20,608,947,1163,1335,"2019","Afr"
"2A05c",4,"Liver cancer secondary to alcohol use","Female",0,0,0,15,347,383,453,375,"2019","Afr"
"2A05d",4,"Other liver cancer","Female",9,333,84,187,770,620,629,657,"2019","Afr"
"2A06",3,"Pancreas cancer","Female",0,0,0,21,621,1131,1708,1919,"2019","Afr"
"2A07",3,"Trachea, bronchus, lung cancers","Female",0,0,8,72,1103,1647,2154,2429,"2019","Afr"
"2A08",3,"Melanoma and other skin cancers","Female",0,2,5,73,853,1445,1626,1684,"2019","Afr"
"2A08a",4,"Malignant skin melanoma","Female",0,2,0,48,283,377,645,757,"2019","Afr"
"2A08b",4,"Non-melanoma skin cancer","Female",0,0,5,25,570,1068,981,928,"2019","Afr"
